height,timestamp,difficulty,delta_t
628252,1588231218,15958652328578.42,417.0
628253,1588231887,15958652328578.42,669.0
628254,1588233431,15958652328578.42,1544.0
628255,1588235564,15958652328578.42,2133.0
628256,1588236748,15958652328578.42,1184.0
628257,1588239826,15958652328578.42,3078.0
628258,1588240304,15958652328578.42,478.0
628259,1588240793,15958652328578.42,489.0
628260,1588242382,15958652328578.42,1589.0
628261,1588243363,15958652328578.42,981.0
628262,1588244290,15958652328578.42,927.0
628263,1588245431,15958652328578.42,1141.0
628264,1588245449,15958652328578.42,18.0
628265,1588245588,15958652328578.42,139.0
628266,1588247068,15958652328578.42,1480.0
628267,1588247994,15958652328578.42,926.0
628268,1588248808,15958652328578.42,814.0
628269,1588249114,15958652328578.42,306.0
628270,1588249609,15958652328578.42,495.0
628271,1588249987,15958652328578.42,378.0
628272,1588250619,15958652328578.42,632.0
628273,1588250625,15958652328578.42,6.0
628274,1588251150,15958652328578.42,525.0
628275,1588251305,15958652328578.42,155.0
628276,1588253494,15958652328578.42,2189.0
628277,1588254374,15958652328578.42,880.0
628278,1588254829,15958652328578.42,455.0
628279,1588254836,15958652328578.42,7.0
628280,1588254877,15958652328578.42,41.0
628281,1588256625,15958652328578.42,1748.0
628282,1588258095,15958652328578.42,1470.0
628283,1588258314,15958652328578.42,219.0
628284,1588259230,15958652328578.42,916.0
628285,1588259325,15958652328578.42,95.0
628286,1588260166,15958652328578.42,841.0
628287,1588261354,15958652328578.42,1188.0
628288,1588261601,15958652328578.42,247.0
628289,1588261763,15958652328578.422,162.0
628290,1588261986,15958652328578.42,223.0
628291,1588262474,15958652328578.42,488.0
628292,1588262840,15958652328578.42,366.0
628293,1588263584,15958652328578.42,744.0
628294,1588263852,15958652328578.42,268.0
628295,1588264086,15958652328578.42,234.0
628296,1588264016,15958652328578.42,0.0
628297,1588264417,15958652328578.42,401.0
628298,1588265585,15958652328578.42,1168.0
628299,1588265665,15958652328578.42,80.0
628300,1588265758,15958652328578.42,93.0
628301,1588266221,15958652328578.42,463.0
628302,1588266900,15958652328578.42,679.0
628303,1588268412,15958652328578.42,1512.0
628304,1588268473,15958652328578.42,61.0
628305,1588269212,15958652328578.42,739.0
628306,1588269247,15958652328578.42,35.0
628307,1588270083,15958652328578.42,836.0
628308,1588270814,15958652328578.42,731.0
628309,1588273273,15958652328578.42,2459.0
628310,1588273329,15958652328578.42,56.0
628311,1588273367,15958652328578.42,38.0
628312,1588274389,15958652328578.42,1022.0
628313,1588276218,15958652328578.42,1829.0
628314,1588277077,15958652328578.42,859.0
628315,1588277107,15958652328578.42,30.0
628316,1588277787,15958652328578.42,680.0
628317,1588277877,15958652328578.42,90.0
628318,1588278774,15958652328578.42,897.0
628319,1588279323,15958652328578.42,549.0
628320,1588279601,15958652328578.42,278.0
628321,1588279710,15958652328578.42,109.0
628322,1588280532,15958652328578.42,822.0
628323,1588281400,15958652328578.42,868.0
628324,1588281768,15958652328578.42,368.0
628325,1588282448,15958652328578.42,680.0
628326,1588282667,15958652328578.42,219.0
628327,1588282719,15958652328578.42,52.0
628328,1588283307,15958652328578.42,588.0
628329,1588283458,15958652328578.42,151.0
628330,1588283733,15958652328578.42,275.0
628331,1588284690,15958652328578.42,957.0
628332,1588284892,15958652328578.42,202.0
628333,1588284892,15958652328578.42,0.0
628334,1588285126,15958652328578.42,234.0
628335,1588285800,15958652328578.42,674.0
628336,1588285832,15958652328578.42,32.0
628337,1588286554,15958652328578.42,722.0
628338,1588286759,15958652328578.42,205.0
628339,1588287509,15958652328578.42,750.0
628340,1588288186,15958652328578.42,677.0
628341,1588288224,15958652328578.42,38.0
628342,1588288380,15958652328578.42,156.0
628343,1588288868,15958652328578.42,488.0
628344,1588288871,15958652328578.42,3.0
628345,1588288929,15958652328578.42,58.0
628346,1588289315,15958652328578.42,386.0
628347,1588290128,15958652328578.42,813.0
628348,1588290379,15958652328578.42,251.0
628349,1588290689,15958652328578.42,310.0
628350,1588291708,15958652328578.42,1019.0
628351,1588291797,15958652328578.42,89.0
628352,1588291854,15958652328578.42,57.0
628353,1588293652,15958652328578.42,1798.0
628354,1588294825,15958652328578.42,1173.0
628355,1588295668,15958652328578.42,843.0
628356,1588295767,15958652328578.42,99.0
628357,1588296252,15958652328578.42,485.0
628358,1588298465,15958652328578.42,2213.0
628359,1588298548,15958652328578.42,83.0
628360,1588299320,15958652328578.42,772.0
628361,1588299784,15958652328578.42,464.0
628362,1588300629,15958652328578.42,845.0
628363,1588300760,15958652328578.42,131.0
628364,1588301614,15958652328578.42,854.0
628365,1588301804,15958652328578.42,190.0
628366,1588302819,15958652328578.42,1015.0
628367,1588303678,15958652328578.42,859.0
628368,1588305367,15958652328578.42,1689.0
628369,1588305513,15958652328578.42,146.0
628370,1588305710,15958652328578.42,197.0
628371,1588305870,15958652328578.42,160.0
628372,1588307582,15958652328578.42,1712.0
628373,1588309551,15958652328578.42,1969.0
628374,1588309642,15958652328578.42,91.0
628375,1588310247,15958652328578.42,605.0
628376,1588310348,15958652328578.42,101.0
628377,1588310627,15958652328578.42,279.0
628378,1588311355,15958652328578.42,728.0
628379,1588311495,15958652328578.42,140.0
628380,1588311494,15958652328578.42,0.0
628381,1588311676,15958652328578.42,182.0
628382,1588314195,15958652328578.42,2519.0
628383,1588315760,15958652328578.42,1565.0
628384,1588315767,15958652328578.42,7.0
628385,1588316268,15958652328578.42,501.0
628386,1588317065,15958652328578.42,797.0
628387,1588317136,15958652328578.42,71.0
628388,1588317604,15958652328578.42,468.0
628389,1588318552,15958652328578.42,948.0
628390,1588318681,15958652328578.42,129.0
628391,1588319279,15958652328578.42,598.0
628392,1588322837,15958652328578.42,3558.0
628393,1588322986,15958652328578.42,149.0
628394,1588323547,15958652328578.42,561.0
628395,1588324427,15958652328578.42,880.0
628396,1588327516,15958652328578.42,3089.0
628397,1588327594,15958652328578.42,78.0
628398,1588328224,15958652328578.42,630.0
628399,1588328499,15958652328578.42,275.0
628400,1588328518,15958652328578.42,19.0
628401,1588330414,15958652328578.42,1896.0
628402,1588331961,15958652328578.42,1547.0
628403,1588332582,15958652328578.42,621.0
628404,1588333321,15958652328578.42,739.0
628405,1588334216,15958652328578.42,895.0
628406,1588334284,15958652328578.42,68.0
628407,1588334319,15958652328578.42,35.0
628408,1588335121,15958652328578.42,802.0
628409,1588335249,15958652328578.42,128.0
628410,1588336004,15958652328578.42,755.0
628411,1588336321,15958652328578.42,317.0
628412,1588336351,15958652328578.42,30.0
628413,1588336472,15958652328578.42,121.0
628414,1588337381,15958652328578.42,909.0
628415,1588337687,15958652328578.42,306.0
628416,1588338576,15958652328578.42,889.0
628417,1588340238,15958652328578.42,1662.0
628418,1588341092,15958652328578.42,854.0
628419,1588341185,15958652328578.42,93.0
628420,1588343120,15958652328578.42,1935.0
628421,1588343238,15958652328578.42,118.0
628422,1588343761,15958652328578.42,523.0
628423,1588344098,15958652328578.42,337.0
628424,1588344586,15958652328578.42,488.0
628425,1588345474,15958652328578.42,888.0
628426,1588345918,15958652328578.42,444.0
628427,1588346147,15958652328578.42,229.0
628428,1588346153,15958652328578.42,6.0
628429,1588347567,15958652328578.42,1414.0
628430,1588347663,15958652328578.42,96.0
628431,1588348908,15958652328578.42,1245.0
628432,1588348978,15958652328578.42,70.0
628433,1588349410,15958652328578.42,432.0
628434,1588349699,15958652328578.42,289.0
628435,1588349801,15958652328578.42,102.0
