height,timestamp,difficulty,delta_t
208154,1353057153,3368767.140532939,498.0
208155,1353057696,3368767.140532939,543.0
208156,1353057719,3368767.1405329388,23.0
208157,1353057777,3368767.140532939,58.0
208158,1353057883,3368767.140532939,106.0
208159,1353059649,3368767.1405329388,1766.0
208160,1353059664,3368767.1405329388,15.0
208161,1353059980,3368767.1405329388,316.0
208162,1353060113,3368767.1405329388,133.0
208163,1353061136,3368767.1405329388,1023.0
208164,1353061234,3368767.140532939,98.0
208165,1353061937,3368767.1405329388,703.0
208166,1353063435,3368767.1405329388,1498.0
208167,1353063561,3368767.140532939,126.0
208168,1353064480,3368767.140532939,919.0
208169,1353064736,3368767.140532939,256.0
208170,1353065422,3368767.140532939,686.0
208171,1353066450,3368767.1405329388,1028.0
208172,1353066912,3368767.140532939,462.0
208173,1353067337,3368767.1405329388,425.0
208174,1353067362,3368767.140532939,25.0
208175,1353068179,3368767.1405329388,817.0
208176,1353068705,3368767.1405329388,526.0
208177,1353068959,3368767.140532939,254.0
208178,1353069712,3368767.140532939,753.0
208179,1353070254,3368767.140532939,542.0
208180,1353070595,3368767.1405329388,341.0
208181,1353071284,3368767.140532939,689.0
208182,1353071449,3368767.1405329388,165.0
208183,1353072591,3368767.1405329388,1142.0
208184,1353073250,3368767.1405329388,659.0
208185,1353073768,3368767.1405329388,518.0
208186,1353073834,3368767.140532939,66.0
208187,1353074101,3368767.1405329388,267.0
208188,1353075539,3368767.140532939,1438.0
208189,1353075723,3368767.1405329388,184.0
208190,1353075773,3368767.140532939,50.0
208191,1353076551,3368767.1405329388,778.0
208192,1353076810,3368767.140532939,259.0
208193,1353077050,3368767.1405329388,240.0
208194,1353077412,3368767.1405329388,362.0
208195,1353079420,3368767.140532939,2008.0
208196,1353077732,3368767.1405329388,0.0
208197,1353078301,3368767.140532939,569.0
208198,1353078910,3368767.1405329388,609.0
208199,1353079415,3368767.140532939,505.0
208200,1353080854,3368767.140532939,1439.0
208201,1353081275,3368767.1405329388,421.0
208202,1353082418,3368767.140532939,1143.0
208203,1353082709,3368767.140532939,291.0
208204,1353086936,3368767.1405329388,4227.0
208205,1353087339,3368767.140532939,403.0
208206,1353088129,3368767.140532939,790.0
208207,1353088204,3368767.1405329388,75.0
208208,1353089071,3368767.140532939,867.0
208209,1353089608,3368767.1405329388,537.0
208210,1353090314,3368767.1405329388,706.0
208211,1353091696,3368767.1405329388,1382.0
208212,1353091984,3368767.140532939,288.0
208213,1353092077,3368767.140532939,93.0
208214,1353093583,3368767.1405329388,1506.0
208215,1353098023,3368767.140532939,4440.0
208216,1353095918,3368767.1405329388,0.0
208217,1353096503,3368767.1405329388,585.0
208218,1353096697,3368767.140532939,194.0
208219,1353096740,3368767.140532939,43.0
208220,1353097553,3368767.1405329388,813.0
208221,1353097826,3368767.140532939,273.0
208222,1353098817,3368767.1405329388,991.0
208223,1353099450,3368767.1405329388,633.0
208224,1353101463,3368767.140532939,2013.0
208225,1353101977,3368767.140532939,514.0
208226,1353102546,3368767.1405329388,569.0
208227,1353103816,3368767.1405329388,1270.0
208228,1353102743,3368767.1405329388,0.0
208229,1353102887,3368767.140532939,144.0
208230,1353103548,3368767.1405329388,661.0
